
2024/10/27 (01:05:36) | ===> btop++ v.1.4.0
2024/10/27 (01:05:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (01:05:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (01:08:51) | ===> btop++ v.1.4.0
2024/10/27 (01:08:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (01:08:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (01:15:13) | ===> btop++ v.1.4.0
2024/10/27 (01:15:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (01:15:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (01:15:35) | ===> btop++ v.1.4.0
2024/10/27 (01:15:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (01:15:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (01:24:48) | ===> btop++ v.1.4.0
2024/10/27 (01:24:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (01:24:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:08:53) | ===> btop++ v.1.4.0
2024/10/27 (10:08:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (10:08:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:10:56) | ===> btop++ v.1.4.0
2024/10/27 (10:10:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (10:10:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:16:02) | ===> btop++ v.1.4.0
2024/10/27 (10:16:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (10:16:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:18:35) | ===> btop++ v.1.4.0
2024/10/27 (10:18:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (10:18:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:19:08) | ===> btop++ v.1.4.0
2024/10/27 (10:19:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (10:19:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:22:47) | ===> btop++ v.1.4.0
2024/10/27 (10:22:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (10:22:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:25:49) | ===> btop++ v.1.4.0
2024/10/27 (10:25:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (10:25:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (10:59:58) | ===> btop++ v.1.4.0
2024/10/27 (10:59:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (10:59:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (15:51:34) | ===> btop++ v.1.4.0
2024/10/27 (15:51:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (15:51:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (15:59:20) | ===> btop++ v.1.4.0
