
2025/09/26 (12:21:27) | ===> btop++ v.1.4.5
2025/09/26 (12:21:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/26 (12:21:27) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/09/26 (12:21:27) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/09/26 (12:21:27) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/09/26 (12:21:27) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/09/26 (12:21:27) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2025/09/26 (12:21:27) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/09/26 (12:21:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/26 (12:21:27) | WARNING: NVML: Failed to get encoder utilization: Not Supported
2025/09/26 (12:21:27) | WARNING: NVML: Failed to get decoder utilization: Not Supported

2025/09/26 (12:28:14) | ===> btop++ v.1.4.5
2025/09/26 (12:28:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/26 (12:28:14) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/09/26 (12:28:14) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/09/26 (12:28:14) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/09/26 (12:28:14) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/09/26 (12:28:14) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/09/26 (12:28:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/26 (12:28:14) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2025/09/26 (12:28:14) | WARNING: NVML: Failed to get encoder utilization: Not Supported
2025/09/26 (12:28:14) | WARNING: NVML: Failed to get decoder utilization: Not Supported

2025/09/26 (12:39:42) | ===> btop++ v.1.4.5
2025/09/26 (12:39:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/26 (12:39:42) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/09/26 (12:39:42) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/09/26 (12:39:42) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/09/26 (12:39:42) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/09/26 (12:39:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/26 (12:39:42) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/09/26 (12:39:42) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2025/09/26 (12:39:42) | WARNING: NVML: Failed to get encoder utilization: Not Supported
2025/09/26 (12:39:42) | WARNING: NVML: Failed to get decoder utilization: Not Supported

2025/09/26 (16:16:10) | ===> btop++ v.1.4.5
2025/09/26 (16:16:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/26 (16:16:10) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/09/26 (16:16:10) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/09/26 (16:16:10) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/09/26 (16:16:10) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/09/26 (16:16:10) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/09/26 (16:16:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/26 (16:16:10) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2025/09/26 (16:16:10) | WARNING: NVML: Failed to get encoder utilization: Not Supported
2025/09/26 (16:16:10) | WARNING: NVML: Failed to get decoder utilization: Not Supported

2025/09/26 (16:42:30) | ===> btop++ v.1.4.5
2025/09/26 (16:42:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/26 (16:42:30) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/09/26 (16:42:30) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/09/26 (16:42:30) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/09/26 (16:42:30) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/09/26 (16:42:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/26 (16:42:30) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2025/09/26 (16:42:30) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/09/26 (16:42:30) | WARNING: NVML: Failed to get encoder utilization: Not Supported
2025/09/26 (16:42:30) | WARNING: NVML: Failed to get decoder utilization: Not Supported

2025/09/26 (16:47:24) | ===> btop++ v.1.4.5
2025/09/26 (16:47:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/26 (16:47:24) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/09/26 (16:47:24) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/09/26 (16:47:24) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/09/26 (16:47:24) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/09/26 (16:47:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/26 (16:47:24) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/09/26 (16:47:24) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2025/09/26 (16:47:24) | WARNING: NVML: Failed to get encoder utilization: Not Supported
2025/09/26 (16:47:24) | WARNING: NVML: Failed to get decoder utilization: Not Supported

2025/09/26 (16:58:30) | ===> btop++ v.1.4.5
2025/09/26 (16:58:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/26 (16:58:30) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/09/26 (16:58:30) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/09/26 (16:58:30) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/09/26 (16:58:30) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/09/26 (16:58:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/26 (16:58:30) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2025/09/26 (16:58:30) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/09/26 (16:58:30) | WARNING: NVML: Failed to get encoder utilization: Not Supported
2025/09/26 (16:58:30) | WARNING: NVML: Failed to get decoder utilization: Not Supported
